countryid,leaguename,leaguetype,level,iscompetitionscarfenabled,isbannerenabled,leagueid,iscompetitionpoleflagenabled,iscompetitioncrowdcardsenabled,leaguetimeslice,iswomencompetition,iswithintransferwindow,isinternationalleague
13,3F Superliga,0,1,2,2,1,2,2,8,0,0,0
7,1A Pro League,0,1,2,2,4,2,2,7,0,0,0
34,Eredivisie,0,1,2,2,10,2,2,12,0,0,0
14,Premier League,0,1,1,2,13,2,2,6,0,0,0
14,EFL Championship,0,2,2,2,14,2,2,7,0,0,0
18,Ligue 1 McDonald's,0,1,2,2,16,2,2,6,0,0,0
18,Ligue 2 BKT,0,2,2,2,17,2,2,6,0,0,0
21,Bundesliga,0,1,2,2,19,2,2,6,0,0,0
21,Bundesliga 2,0,2,2,2,20,2,2,7,0,0,0
27,Serie A Enilive,0,1,1,1,31,1,1,6,0,0,0
27,Serie BKT,0,2,2,2,32,2,2,6,0,0,0
95,MLS,0,1,2,2,39,2,2,3,0,0,0
36,Eliteserien,0,1,2,2,41,2,2,9,0,0,0
42,Scottish Prem,0,1,2,2,50,2,2,6,0,0,0
45,LALIGA EA SPORTS,0,1,0,1,53,1,1,6,0,0,0
45,LALIGA HYPERMOTION,0,2,0,1,54,1,1,6,0,0,0
46,Allsvenskan,0,1,2,2,56,2,2,9,0,0,0
14,EFL League One,0,3,2,2,60,2,2,7,0,0,0
14,EFL League Two,0,4,2,2,61,2,2,7,0,0,0
25,SSE Airtricity PD,0,1,2,2,65,2,2,9,0,0,0
37,PKO BP Ekstraklasa,0,1,2,2,66,2,2,7,0,0,0
48,Trendyol Süper Lig,0,1,2,2,68,2,2,6,0,0,0
211,Men's ROW,0,4,2,2,76,2,2,0,0,0,0
75,Men's National,0,5,2,2,78,2,2,0,0,0,1
4,Ö. Bundesliga,0,1,2,2,80,2,2,7,0,0,0
167,K League 1,0,1,2,2,83,2,2,3,0,0,0
0,*LeagueName_Abbr15_111,0,1,2,2,111,2,2,0,0,0,0
47,CSSL ,0,1,2,2,189,2,2,7,0,0,0
38,Liga Portugal,0,1,2,2,308,2,2,7,0,0,0
39,SUPERLIGA,0,1,2,2,330,2,2,7,0,0,0
183,ROSHN Saudi League,0,1,2,2,350,2,2,7,0,0,0
195,A-League,0,1,2,2,351,2,2,3,0,0,0
52,LPF,0,1,2,2,353,2,2,5,0,0,0
210,Free Agents,0,1,2,2,382,2,2,0,0,0,0
209,Created Players,0,1,2,2,383,2,2,0,0,0,0
216,Creation Centre,0,1,2,2,384,2,2,0,0,0,0
225,Libertadores,0,1,2,2,1003,2,2,0,0,0,0
225,Sudamericana,0,1,2,2,1014,2,2,0,0,0,0
0,*LeagueName_Abbr15_2000,0,6,2,2,2000,2,2,0,0,0,0
155,CSL,0,1,2,2,2012,2,2,7,0,0,0
0,World League,0,7,2,2,2028,2,2,0,0,0,0
21,3. Liga,0,3,2,2,2076,2,2,6,0,0,0
0,Futsal Title,0,1,2,2,2092,2,2,0,0,0,0
222,Women’s National,0,5,2,2,2136,2,2,3,1,0,1
159,ISL,0,1,2,2,2149,2,2,4,0,0,0
21,GPFBL,0,1,2,2,2215,2,2,4,1,0,0
14,Barclays WSL,0,1,2,2,2216,2,2,4,1,0,0
18,Arkema PL,0,1,2,2,2218,2,2,5,1,0,0
95,NWSL,0,1,1,1,2221,1,2,13,1,0,0
45,Liga F,0,1,2,2,2222,2,2,3,1,0,0
211,Women's ROW,0,1,2,2,2226,2,2,0,1,0,0
211,*LeagueName_Abbr15_2240,0,1,2,2,2240,2,2,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
0,,0,1,0,0,1,0,0,0,0,0,0
