assetid,teamcolor1g,teamcolor1r,clubworth,teamcolor2b,goalnetstanchioncolor2g,teamcolor2r,foundationyear,goalnetstanchioncolor2r,teamcolor3r,goalnetstanchioncolor1b,teamcolor1b,opponentweakthreshold,latitude,teamcolor3g,opponentstrongthreshold,goalnetstanchioncolor2b,goalnetstanchioncolor1r,teamcolor2g,goalnetstanchioncolor1g,teamname,teamcolor3b,presassetone,powid,hassubstitutionboard,rightfreekicktakerid,flamethrowercannon,domesticprestige,genericint2,defensivedepth,hasvikingclap,jerseytype,pitchcolor,pitchwear,popularity,hastifo,presassettwo,teamstadiumcapacity,stadiumgoalnetstyle,iscompetitionscarfenabled,cityid,rivalteam,playsurfacetype,isbannerenabled,midfieldrating,stadiummowpattern_code,matchdayoverallrating,matchdaymidfieldrating,attackrating,longitude,buildupplay,matchdaydefenserating,hasstandingcrowd,favoriteteamsheetid,defenserating,iscompetitionpoleflagenabled,skinnyflags,uefa_consecutive_wins,longkicktakerid,trait1vweak,iscompetitioncrowdcardsenabled,rightcornerkicktakerid,gender,cksupport1,uefa_cl_wins,hassuncanthem,domesticcups,ethnicity,leftcornerkicktakerid,youthdevelopment,teamid,uefa_el_wins,trait1vequal,numtransfersin,stanchionflamethrower,stadiumgoalnetpattern,captainid,personalityid,prev_el_champ,leftfreekicktakerid,cksupport2,leaguetitles,genericbanner,crowdregion,uefa_uecl_wins,overallrating,ballid,profitability,utcoffset,penaltytakerid,pitchlinecolor,freekicktakerid,crowdskintonecode,internationalprestige,cksupport3,haslargeflag,trainingstadium,form,genericint1,trait1vstrong,matchdayattackrating
1,26,218,1871280,255,1,255,1886,1,228,1,53,3,51,206,3,1,1,255,1,Arsenal,60,0,-1,0,234378,0,9,-1,70,0,2,3,0,9,0,0,60704,0,0,285,18,0,1,85,1,84,85,83,0,1,81,0,-1,81,0,0,0,234378,131586,2,246669,0,251805,0,0,14,4,234378,6,1,0,180738,0,0,0,222665,1,0,234378,222665,13,0,3,0,83,143,2,0,222665,0,234378,2,9,243715,0,366,0,-1,263170,84
2,0,102,800000,229,184,148,1874,139,124,51,51,2,52,47,2,226,102,190,0,Aston Villa,78,0,-1,0,200458,1,7,-1,50,0,2,4,0,7,0,0,42657,0,2,54,109,0,2,80,1,80,80,84,-1,2,79,0,-1,80,0,0,0,216393,263296,2,200458,0,227678,1,0,7,3,216393,5,2,0,4251776,0,0,0,202811,1,0,216393,260247,7,0,3,0,81,143,1,0,221697,0,200458,2,6,221697,0,366,0,-1,528512,82
3,76,1,39000,255,76,255,1875,1,1,182,182,1,53,76,1,182,1,255,76,Blackburn Rovers,202,0,-1,0,225748,0,5,-1,50,0,2,4,0,4,0,0,31367,0,2,55,1796,0,2,70,1,70,70,69,-2,1,70,0,-1,70,2,0,0,225748,262672,2,225748,0,0,0,0,6,6,225748,7,3,0,4227600,0,0,0,234319,1,0,225748,0,3,0,3,0,70,135,7,0,225748,0,225748,2,1,0,0,316,0,-1,525328,69
4,255,255,8000,63,28,8,1874,14,255,80,255,1,53,255,1,80,14,21,28,Bolton,255,0,-1,0,212366,0,10,-1,50,0,2,4,0,4,0,0,28723,0,2,61,1917,0,2,66,1,66,66,67,-2,1,66,0,-1,66,2,0,0,212366,262784,0,212366,0,0,0,0,4,2,212366,7,4,0,4194944,0,0,0,212090,0,0,212366,0,0,0,3,0,66,135,2,0,225509,0,212366,2,1,0,0,316,0,-1,525440,67
5,20,0,2340000,255,85,255,1905,48,28,200,137,2,51,75,2,200,48,255,85,Chelsea,160,0,-1,0,257534,1,8,-1,50,0,2,3,0,9,0,0,40343,0,2,285,1,0,1,82,1,81,82,81,0,1,81,1,-1,80,1,0,0,257534,262793,3,257534,0,230918,2,0,8,4,247090,4,5,2,4244105,0,0,0,256079,0,0,257534,262859,6,0,3,0,80,143,1,0,257534,0,257534,2,7,252042,0,366,0,-1,525449,81
7,54,0,650000,255,54,255,1878,0,45,156,156,2,53,99,2,156,0,255,54,Everton,201,0,-1,0,232080,0,4,-1,50,0,2,4,0,7,0,0,39414,0,0,282,9,0,2,76,1,77,77,75,-2,3,75,0,-1,75,0,0,0,232080,266312,2,232080,0,0,0,0,5,1,243657,5,7,0,4212808,0,0,0,204935,0,0,232080,0,9,0,3,0,76,143,6,0,261188,0,232080,2,4,0,0,366,0,-1,526408,74
8,255,255,200000,134,205,46,1919,235,235,134,255,2,53,225,2,0,46,67,67,Leeds United,1,0,-1,0,247361,0,10,-1,90,0,1,5,0,7,0,0,37890,0,2,269,1939,0,1,75,1,74,75,75,-1,1,75,0,-1,75,2,0,0,247361,66177,2,247361,0,0,0,0,1,3,247361,4,8,0,82561,0,0,0,235735,0,0,247361,0,3,0,3,0,74,135,4,0,247249,0,247361,2,2,0,0,366,0,-1,132225,75
9,27,227,4134150,255,1,255,1892,1,255,1,35,3,53,215,3,1,1,255,1,Liverpool,0,0,-1,0,239837,0,9,-1,70,0,1,3,0,9,0,0,53394,0,1,282,11,0,1,84,1,84,84,83,-2,1,86,0,-1,85,1,0,0,239837,131712,3,256630,0,237678,6,0,8,3,209331,3,9,3,180864,0,0,0,203376,0,0,239837,233731,19,0,3,0,84,143,6,0,209331,0,231281,2,8,203376,0,366,0,-1,263296,82
10,173,108,3825000,255,177,255,1880,133,0,222,233,3,53,40,3,222,133,255,177,Manchester City,94,0,-1,0,256675,0,10,-1,70,0,2,4,0,9,1,0,53400,0,1,300,11,0,2,83,1,85,84,86,-2,1,80,1,-1,79,1,0,0,256675,131712,3,231866,0,251517,1,0,7,2,237692,3,10,0,164480,0,0,0,239818,1,0,256675,256675,10,0,3,0,85,143,1,0,256675,0,192985,2,10,239818,0,366,0,-1,263296,87
11,1,199,4318650,255,1,255,1878,1,30,1,1,2,53,30,2,1,1,255,1,Man Utd,30,0,-1,0,212198,0,7,-1,70,0,2,5,0,10,0,0,74310,0,0,300,9,0,0,76,1,81,78,77,-2,1,81,1,-1,80,0,0,0,212198,131732,0,212198,0,235243,3,0,13,4,212198,9,11,1,131732,0,0,0,212198,0,0,212198,203263,20,0,3,0,80,143,4,0,212198,0,212198,2,8,260592,0,366,0,-1,263316,79
